fish_id,stage,site,reef,birth_date,pelagic_larval_duration,birth_lunar_day,birth_lunar_month,birth_lunar_phase,birth_moon_first_half,birth_moon_second_half
500,settler,TMM,NA,2017-02-21,44,25,1164,dernier_quartier,0,0.730555556
501,settler,TMM,NA,2017-02-15,48,19,1164,pleine_lune,0.325,1
502,settler,TMM,NA,2017-02-21,44,25,1164,dernier_quartier,0,0.730555556
505,settler,MMM,NA,2017-02-20,44,24,1164,dernier_quartier,0,0.861111111
507,settler,MMM,NA,2017-02-12,48,16,1164,pleine_lune,0.655555556,1
508,settler,VOE,NA,2017-02-19,41,23,1164,dernier_quartier,0,0.986111111
510,settler,VOW,NA,2017-02-13,50,17,1164,pleine_lune,0.541666667,1
516,settler,VME,NA,2017-03-02,44,4,1165,nouvelle_lune,0.641666667,0
519,settler,TOM,NA,2017-03-01,42,3,1165,nouvelle_lune,0.508333333,0
523,settler,TOM,NA,2017-03-07,41,9,1165,premier_quartier,1,0.463888889
524,settler,MOM,NA,2017-03-11,40,13,1165,premier_quartier,1,0.994444444
531,settler,MOM,NA,2017-02-23,53,27,1164,dernier_quartier,0,0.45
533,settler,MMM,NA,2017-03-09,42,11,1165,premier_quartier,1,0.747222222
534,settler,MMM,114,2017-03-02,45,4,1165,nouvelle_lune,0.641666667,0
537,settler,MMM,114,2017-02-10,55,14,1164,premier_quartier,0.9,1
538,settler,MOM,96,2017-03-02,43,4,1165,nouvelle_lune,0.641666667,0
541,settler,MOM,91,2017-03-07,48,9,1165,premier_quartier,1,0.463888889
543,settler,MOM,91,2017-03-07,48,9,1165,premier_quartier,1,0.463888889
544,settler,MOM,91,2017-03-11,45,13,1165,premier_quartier,1,0.994444444
546,settler,MOM,100,2017-02-27,56,1,1165,nouvelle_lune,0.255555556,0
548,settler,TOM,154,2017-03-11,40,13,1165,premier_quartier,1,0.994444444
552,settler,TOM,153,2017-03-09,47,11,1165,premier_quartier,1,0.747222222
554,settler,TOM,156,2017-03-10,45,12,1165,premier_quartier,1,0.875
559,settler,TMM,137,2017-03-15,44,17,1165,pleine_lune,0.561111111,1
562,settler,TMM,131,2017-03-16,43,18,1165,pleine_lune,0.45,1
563,settler,TMM,131,2017-03-05,51,7,1165,premier_quartier,1,0.144444444
576,settler,MMM,108,2017-03-08,39,10,1165,premier_quartier,1,0.608333333
579,settler,MMM,111,2017-03-12,40,14,1165,premier_quartier,0.891666667,1
581,settler,MMM,117,2017-03-09,46,11,1165,premier_quartier,1,0.747222222
591,settler,MMM,110,2017-03-08,50,10,1165,premier_quartier,1,0.608333333
592,settler,VOW,18,2017-03-12,44,14,1165,premier_quartier,0.891666667,1
594,settler,VOW,7,2017-03-13,42,15,1165,pleine_lune,0.780555556,1
